date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:54:19	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:22%20GMT	https://coreui.io/demo/dark/apps/invoicing/invoice.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/apps/invoicing/invoice.html	(from https://coreui.io/demo/dark/)
09:54:19	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:22%20GMT	https://coreui.io/demo/dark/apps/email/inbox.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/apps/email/inbox.html	(from https://coreui.io/demo/dark/)
09:54:20	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:22%20GMT	https://coreui.io/demo/dark/apps/email/message.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/apps/email/message.html	(from https://coreui.io/demo/dark/)
09:54:20	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:22%20GMT	https://coreui.io/demo/dark/apps/email/compose.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/apps/email/compose.html	(from https://coreui.io/demo/dark/)
09:54:20	2105/2105	---M--	200	added ('OK')	image/jpeg	etag:%225d56c64f-839%22	https://coreui.io/demo/dark/img/avatars/2.jpg	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/img/avatars/2.jpg	(from https://coreui.io/demo/dark/)
09:54:21	1645/1645	---M--	200	added ('OK')	image/jpeg	etag:%225d56c64f-66d%22	https://coreui.io/demo/dark/img/avatars/3.jpg	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/img/avatars/3.jpg	(from https://coreui.io/demo/dark/)
09:54:21	20466/20466	---M--	200	added ('OK')	image/jpeg	etag:%225d56c64f-4ff2%22	https://coreui.io/demo/dark/img/avatars/8.jpg	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/img/avatars/8.jpg	(from https://coreui.io/demo/dark/)
09:54:21	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d56c650-15283%22	https://coreui.io/demo/dark/vendors/jquery/js/jquery.min.js	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/vendors/jquery/js/jquery.min.js	(from https://coreui.io/demo/dark/)
09:54:21	20611/20611	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d56c650-5083%22	https://coreui.io/demo/dark/vendors/popper.js/js/popper.min.js	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/vendors/popper.js/js/popper.min.js	(from https://coreui.io/demo/dark/)
09:54:21	51039/51039	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d56c64f-c75f%22	https://coreui.io/demo/dark/vendors/bootstrap/js/bootstrap.min.js	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/vendors/bootstrap/js/bootstrap.min.js	(from https://coreui.io/demo/dark/)
09:54:22	12507/12507	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d56c650-30db%22	https://coreui.io/demo/dark/vendors/pace-progress/js/pace.min.js	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/vendors/pace-progress/js/pace.min.js	(from https://coreui.io/demo/dark/)
